Age,Gender,Grade,Future Setting,Future Place,Work Type,Work Environment,Immediate Goals,Highly Skilled,Skilled,Moderately Skilled,Unskilled
15,Female,9,Abroad ,Move often ,Hands-on work,Collaborative ,Finish schooling,"Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy","Written Communication, Verbal Communication, Problem Solving, Leadership, Decision Making",Numeracy,Teamwork
15,Female,9,City,Move often ,Helping people,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
14,Female,9,Flexible ,Stay in one place,Organizing and managing ,Outdoors ,Finish schooling,"Analytical Ability, Reactive Ability, Creative Thinking, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Numeracy, Leadership",Numeracy,Teamwork
15,Male,9,Abroad ,Work from anywhere,Creative work,Office setting,Finish schooling,"Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability",Numeracy,Teamwork
15,Male,9,City,Move often ,Working with technology,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Teamwork, Creative Thinking, Leadership, Decision Making","Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Teamwork
14,Male,9,Suburban Area,Move often ,Creative work,Outdoors ,Finish schooling,"Creative Thinking, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Numeracy",Verbal Communication,Teamwork
16,Female,10,City,Move often ,Creative work,Office setting,Finish schooling,Leadership,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Numeracy, Decision Making",Analytical Ability,Teamwork
15,Female,9,Abroad ,Move often ,Hands-on work,Outdoors ,Finish schooling,"Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making","Written Communication, Verbal Communication, Teamwork, Numeracy",Problem Solving,Teamwork
15,Female,9,Flexible ,Stay in one place,Creative work,Office setting,Finish schooling,"Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Numeracy",Numeracy,Teamwork
14,Male,9,Abroad ,Move often ,Organizing and managing ,Office setting,Finish schooling,"Teamwork, Creative Thinking, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Numeracy,Teamwork
15,Male,9,Abroad ,Move often ,Working with technology,Outdoors ,Finish schooling,"Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Numeracy",Numeracy,Teamwork
15,Male,9,Flexible ,Move sometimes,Hands-on work,Location Independent Work,Finish schooling,"Creative Thinking, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability",Reactive Ability,"Numeracy, Leadership"
16,Male,10,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making",Problem Solving,Teamwork
16,Female,10,Abroad ,Move sometimes,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Teamwork, Creative Thinking, Numeracy","Reactive Ability, Leadership","Verbal Communication, Problem Solving, Analytical Ability",Decision Making
15,Male,9,Flexible ,Move sometimes,Hands-on work,Independent ,Finish schooling,"Problem Solving, Creative Thinking","Verbal Communication, Teamwork, Reactive Ability, Numeracy","Written Communication, Analytical Ability, Leadership",Decision Making
15,Male,9,Rural Area,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making",Numeracy,Teamwork
17,Female,10,Suburban Area,Stay in one place,Helping people,Outdoors ,Finish schooling,"Written Communication, Creative Thinking","Problem Solving, Analytical Ability, Reactive Ability, Decision Making",Numeracy,"Verbal Communication, Teamwork, Leadership"
15,Female,9,Rural Area,Work from anywhere,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Problem Solving","Verbal Communication, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making",Numeracy,Teamwork
15,Male,9,City,Move often ,Working with technology,Office setting,Finish schooling,Decision Making,"Written Communication, Verbal Communication, Teamwork, Creative Thinking, Leadership","Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Teamwork
14,Female,9,Rural Area,Move often ,Helping people,Outdoors ,Finish schooling,"Problem Solving, Teamwork, Numeracy, Leadership","Written Communication, Verbal Communication, Analytical Ability, Reactive Ability, Creative Thinking, Decision Making",Numeracy,Teamwork
16,Female,10,Abroad ,Move often ,Creative work,Independent ,Explore different careers,"Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Leadership, Decision Making","Written Communication, Creative Thinking, Numeracy",Numeracy,Teamwork
15,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Leadership","Problem Solving, Reactive Ability",Teamwork
17,Male,10,Rural Area,Move often ,Hands-on work,Independent ,Finish schooling,"Verbal Communication, Teamwork, Decision Making","Reactive Ability, Creative Thinking, Leadership","Written Communication, Problem Solving, Analytical Ability, Numeracy",Teamwork
16,Female,10,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Leadership","Problem Solving, Reactive Ability",Teamwork
16,Female,10,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Leadership","Problem Solving, Reactive Ability",Teamwork
16,Female,10,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Leadership","Problem Solving, Reactive Ability",Teamwork
17,Male,10,Rural Area,Move often ,Working with technology,Collaborative ,Finish schooling,"Verbal Communication, Teamwork, Creative Thinking, Numeracy, Decision Making","Written Communication, Problem Solving, Analytical Ability, Reactive Ability",Leadership,Teamwork
17,Male,10,Flexible ,Move often ,Hands-on work,Collaborative ,Finish schooling,"Teamwork, Reactive Ability, Leadership, Decision Making",Verbal Communication,"Written Communication, Analytical Ability, Creative Thinking, Numeracy",Problem Solving
16,Female,10,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Leadership","Problem Solving, Reactive Ability",Teamwork
15,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Leadership","Problem Solving, Reactive Ability",Teamwork
15,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Leadership","Problem Solving, Reactive Ability",Teamwork
15,Male,9,Flexible ,Move sometimes,Hands-on work,Outdoors ,Learn a new skill,"Written Communication, Problem Solving, Analytical Ability, Creative Thinking",Numeracy,"Reactive Ability, Decision Making","Verbal Communication, Teamwork, Leadership"
15,Male,9,Abroad ,Move often ,Organizing and managing ,Collaborative ,Finish schooling,"Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving",Numeracy,Teamwork
17,Female,10,Abroad ,Move often ,Hands-on work,Outdoors ,Explore different careers,"Written Communication, Problem Solving","Analytical Ability, Creative Thinking","Verbal Communication, Teamwork, Reactive Ability, Numeracy","Leadership, Decision Making"
15,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Leadership","Problem Solving, Reactive Ability",Teamwork
16,Male,10,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Leadership","Problem Solving, Reactive Ability",Teamwork
15,Male,9,Rural Area,Work from anywhere,Hands-on work,Outdoors ,Finish schooling,"Written Communication, Teamwork, Reactive Ability","Numeracy, Decision Making","Verbal Communication, Creative Thinking, Leadership","Problem Solving, Analytical Ability"
15,Male,9,Abroad ,Stay in one place,Organizing and managing ,Outdoors ,Finish schooling,"Teamwork, Analytical Ability, Reactive Ability, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Creative Thinking",Numeracy,Teamwork
14,Male,9,Rural Area,Move sometimes,Creative work,Outdoors ,Volunteer,"Teamwork, Creative Thinking, Leadership","Written Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy, Decision Making",Verbal Communication,Teamwork
14,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Problem Solving, Decision Making","Written Communication, Creative Thinking, Numeracy, Leadership","Verbal Communication, Teamwork, Analytical Ability, Reactive Ability",Teamwork
16,Male,10,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Problem Solving, Decision Making","Written Communication, Creative Thinking, Numeracy, Leadership","Verbal Communication, Teamwork, Analytical Ability, Reactive Ability",Teamwork
14,Female,9,Abroad ,Stay in one place,Helping people,Location Independent Work,Finish schooling,"Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving",Numeracy,Teamwork
15,Female,9,Rural Area,Move sometimes,Working with technology,Collaborative ,Finish schooling,"Teamwork, Decision Making","Verbal Communication, Problem Solving, Analytical Ability, Leadership","Written Communication, Reactive Ability, Numeracy",Creative Thinking
16,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Creative Thinking","Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Numeracy, Leadership, Decision Making",Numeracy,Teamwork
15,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Creative Thinking","Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Numeracy, Leadership, Decision Making",Numeracy,Teamwork
15,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Verbal Communication, Creative Thinking, Decision Making","Written Communication, Teamwork, Analytical Ability, Leadership","Problem Solving, Reactive Ability, Numeracy",Teamwork
15,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Verbal Communication, Creative Thinking, Decision Making","Written Communication, Teamwork, Analytical Ability, Leadership","Problem Solving, Reactive Ability, Numeracy",Teamwork
15,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Verbal Communication, Creative Thinking, Decision Making","Written Communication, Teamwork, Analytical Ability, Leadership","Problem Solving, Reactive Ability, Numeracy",Teamwork
15,Female,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Verbal Communication, Creative Thinking, Decision Making","Written Communication, Teamwork, Analytical Ability, Leadership","Problem Solving, Reactive Ability, Numeracy",Teamwork
15,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Verbal Communication, Creative Thinking, Decision Making","Written Communication, Teamwork, Analytical Ability, Leadership","Problem Solving, Reactive Ability, Numeracy",Teamwork
15,Female,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
15,Female,9,Abroad ,Move often ,Helping people,Office setting,Finish schooling,"Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Numeracy, Leadership, Decision Making","Written Communication, Reactive Ability, Creative Thinking",Numeracy,Teamwork
16,Female,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
15,Female,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
14,Female,9,Abroad ,Stay in one place,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Verbal Communication, Problem Solving, Teamwork",Numeracy,Teamwork
16,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
16,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
14,Male,9,Abroad ,Stay in one place,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Numeracy, Leadership, Decision Making","Reactive Ability, Creative Thinking",Numeracy,Teamwork
16,Female,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
15,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
14,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
14,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
14,Female,9,City,Stay in one place,Helping people,Office setting,Finish schooling,Decision Making,"Written Communication, Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
16,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,Decision Making,"Written Communication, Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
17,Male,10,City,Stay in one place,Helping people,Office setting,Finish schooling,Decision Making,"Written Communication, Verbal Communication, Problem Solving, Creative Thinking, Leadership","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
114,Female,9,Abroad ,Work from anywhere,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Teamwork, Leadership, Decision Making","Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy",Numeracy,Teamwork
14,Female,9,Abroad ,Work from anywhere,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Creative Thinking, Leadership","Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Numeracy, Decision Making",Numeracy,Teamwork
17,Male,10,Flexible ,Move often ,Working with technology,Collaborative ,Finish schooling,"Written Communication, Problem Solving, Creative Thinking, Decision Making","Teamwork, Analytical Ability, Reactive Ability, Numeracy, Leadership",Numeracy,Verbal Communication
15,Male,10,Abroad ,Move often ,Working with technology,Collaborative ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
16,Male,10,Flexible ,Move sometimes,Working with technology,Location Independent Work,Improve my grades,"Problem Solving, Creative Thinking, Leadership","Written Communication, Verbal Communication, Teamwork, Analytical Ability, Numeracy, Decision Making",Reactive Ability,Teamwork
14,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Verbal Communication, Decision Making","Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Numeracy, Leadership",Analytical Ability,Teamwork
16,Male,10,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Verbal Communication, Decision Making","Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Numeracy, Leadership",Analytical Ability,Teamwork
17,Female,10,Flexible ,Move often ,Working with technology,Collaborative ,Finish schooling,"Written Communication, Analytical Ability, Numeracy","Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Verbal Communication
16,Male,10,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Verbal Communication, Decision Making","Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Numeracy, Leadership",Analytical Ability,Teamwork
15,Male,9,Rural Area,Work from anywhere,Working with technology,Outdoors ,Finish schooling,"Teamwork, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Analytical Ability",Numeracy,Teamwork
15,Female,9,Abroad ,Move often ,Working with technology,Collaborative ,Explore different careers,"Teamwork, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Analytical Ability",Numeracy,Teamwork
15,Female,9,Abroad ,Work from anywhere,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy","Verbal Communication, Teamwork, Creative Thinking",Numeracy,"Leadership, Decision Making"
15,Female,9,Abroad ,Work from anywhere,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Teamwork, Analytical Ability, Reactive Ability, Leadership, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Numeracy",Numeracy,Teamwork
14,Male,9,Rural Area,Move often ,Hands-on work,Office setting,Join clubs or activities,"Written Communication, Teamwork, Analytical Ability, Reactive Ability, Leadership, Decision Making","Verbal Communication, Problem Solving, Creative Thinking, Numeracy",Numeracy,Teamwork
16,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Problem Solving, Teamwork, Analytical Ability, Numeracy","Verbal Communication, Creative Thinking, Leadership","Reactive Ability, Decision Making",Teamwork
15,Female,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Teamwork, Creative Thinking, Leadership","Analytical Ability, Reactive Ability, Numeracy",Teamwork
15,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Teamwork, Creative Thinking, Leadership","Analytical Ability, Reactive Ability, Numeracy",Teamwork
16,Female,10,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Teamwork, Creative Thinking, Leadership","Analytical Ability, Reactive Ability, Numeracy",Teamwork
17,Female,10,Suburban Area,Move often ,Creative work,Location Independent Work,Improve my grades,"Written Communication, Decision Making","Verbal Communication, Problem Solving, Teamwork, Creative Thinking, Leadership","Analytical Ability, Reactive Ability, Numeracy",Teamwork
17,Female,10,Suburban Area,Move often ,Creative work,Location Independent Work,Improve my grades,"Verbal Communication, Creative Thinking, Numeracy","Written Communication, Teamwork, Reactive Ability, Decision Making","Problem Solving, Analytical Ability",Leadership
15,Male,9,Flexible ,Work from anywhere,Creative work,Location Independent Work,Finish schooling,"Verbal Communication, Creative Thinking, Numeracy","Written Communication, Teamwork, Reactive Ability, Decision Making","Problem Solving, Analytical Ability",Leadership
17,Male,10,Flexible ,Work from anywhere,Organizing and managing ,Collaborative ,Finish schooling,"Verbal Communication, Analytical Ability","Written Communication, Teamwork, Reactive Ability, Numeracy, Leadership","Creative Thinking, Decision Making",Problem Solving
17,Male,10,Flexible ,Move sometimes,Working with technology,Office setting,Learn a new skill,"Written Communication, Numeracy","Verbal Communication, Analytical Ability, Reactive Ability, Leadership, Decision Making","Problem Solving, Creative Thinking",Teamwork
17,Female,10,Rural Area,Work from anywhere,Hands-on work,Office setting,Explore different careers,"Written Communication, Problem Solving, Analytical Ability, Creative Thinking","Numeracy, Decision Making","Teamwork, Reactive Ability","Verbal Communication, Leadership"
15,Male,9,Abroad ,Stay in one place,Helping people,Office setting,Finish schooling,Decision Making,"Written Communication, Verbal Communication, Teamwork, Analytical Ability, Numeracy, Leadership","Problem Solving, Reactive Ability, Creative Thinking",Teamwork
17,Male,10,Flexible ,Move sometimes,Hands-on work,Independent ,Improve my grades,"Reactive Ability, Creative Thinking","Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Numeracy, Leadership",Written Communication,Decision Making
15,Male,9,Abroad ,Stay in one place,Creative work,Office setting,Improve my grades,Verbal Communication,"Written Communication, Problem Solving, Teamwork, Creative Thinking, Numeracy, Leadership, Decision Making",Analytical Ability,Reactive Ability
15,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Problem Solving, Teamwork, Analytical Ability, Reactive Ability","Written Communication, Verbal Communication, Creative Thinking, Numeracy, Decision Making",Leadership,Teamwork
15,Male,9,Rural Area,Move often ,Creative work,Collaborative ,Finish schooling,Verbal Communication,"Written Communication, Problem Solving, Teamwork, Creative Thinking, Leadership, Decision Making","Analytical Ability, Reactive Ability, Numeracy",Teamwork
15,Male,9,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Reactive Ability, Numeracy","Verbal Communication, Problem Solving, Teamwork, Creative Thinking, Leadership","Analytical Ability, Decision Making",Teamwork
16,Female,10,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Teamwork, Creative Thinking, Leadership, Decision Making","Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Teamwork
16,Female,10,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Teamwork, Creative Thinking, Leadership, Decision Making","Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Teamwork
17,Male,10,Abroad ,Work from anywhere,Organizing and managing ,Collaborative ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Teamwork, Creative Thinking, Leadership, Decision Making","Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Teamwork
17,Female,10,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Verbal Communication, Problem Solving","Written Communication, Teamwork, Analytical Ability, Reactive Ability, Leadership, Decision Making","Creative Thinking, Numeracy",Teamwork
16,Female,10,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Teamwork, Creative Thinking, Leadership, Decision Making","Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Teamwork
15,Male,9,Abroad ,Work from anywhere,Helping people,Location Independent Work,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Teamwork, Creative Thinking, Leadership, Decision Making","Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Teamwork
17,Male,10,Flexible ,Work from anywhere,Creative work,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
14,Male,9,Abroad ,Work from anywhere,Organizing and managing ,Location Independent Work,Finish schooling,Creative Thinking,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Numeracy, Decision Making",Leadership,Teamwork
17,Male,10,Rural Area,Stay in one place,Helping people,Office setting,Finish schooling,"Problem Solving, Leadership, Decision Making","Written Communication, Verbal Communication, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy",Numeracy,Teamwork
15,Female,9,Abroad ,Stay in one place,Working with technology,Location Independent Work,Finish schooling,"Verbal Communication, Analytical Ability","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
15,Male,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
17,Female,10,Abroad ,Work from anywhere,Creative work,Office setting,Finish schooling,"Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy",Numeracy,Teamwork
17,Male,10,Rural Area,Move often ,Working with technology,Office setting,Take extra classes,"Problem Solving, Leadership","Written Communication, Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Decision Making",Reactive Ability,Teamwork
14,Female,9,Abroad ,Move often ,Organizing and managing ,Office setting,Finish schooling,"Verbal Communication, Analytical Ability, Creative Thinking","Written Communication, Problem Solving, Teamwork, Reactive Ability, Numeracy, Leadership, Decision Making",Numeracy,Teamwork
17,Other,10,Suburban Area,Move sometimes,Organizing and managing ,Office setting,Explore different careers,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making",Numeracy,Teamwork
14,Female,9,Suburban Area,Work from anywhere,Working with technology,Collaborative ,Finish schooling,Reactive Ability,"Written Communication, Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Leadership, Decision Making",Problem Solving,Teamwork
15,Male,9,Rural Area,Stay in one place,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
14,Female,9,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
16,Male,10,Flexible ,Move often ,Hands-on work,Independent ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
